,agrup_dato,fecha_corte,Codigo Ejecutivo,Antigüedad,cargo,canal,catt,region,cum tarjetas,cum seguros,cum creditos,Tarjetas,Seguros,Creditos,antiguedad_cod,metas_tarjetas,metas_seguros,metas_creditos
50,EJECUTIVO,2025-01-31,1950520,Mas de 5 años,Comercial,305013,ÉXITO LA COLINA,BOGOTA Y CERCANIAS,26.666667,18.181818181818183,383.1614891346155,4,4,5.61294553,3: Mayor a 5 años,14,22,0
51,EJECUTIVO,2025-01-31,1556376,Mas de 5 años,Servicio,305950,ÉXITO SOGAMOSO,SANTANDERES BOYACA,285.0,69.4852719036532,370.902659,13,56,26.70499147,3: Mayor a 5 años,4,80,7
52,EJECUTIVO,2025-01-31,1585688,Mas de 5 años,Servicio,305005,ÉXITO CALLE 80,BOGOTA CENTRO,150.0,153.189143192488,109.60124,3,13,3.28803719,3: Mayor a 5 años,2,8,2
53,EJECUTIVO,2025-01-31,1031785,entre 6 meses y 1 año,Comercial,346621,ÉXITO RIOHACHA,COSTAS,200.0,182.21875,383.1614891346155,38,43,31.60723234,1: Entre 6 meses y 1 año,19,23,6
54,EJECUTIVO,2025-01-31,1876133,Mas de 5 años,Comercial,305083,ÉXITO CENTRO NEIVA,BOGOTA CENTRO,104.761905,119.885711768474,71.40598,22,20,2.32069436,3: Mayor a 5 años,20,16,3
55,EJECUTIVO,2025-01-31,1470580,Entre 1 y 5 años,Comercial,305004,ÉXITO SAN ANTONIO,ANTIOQUIA,81.818182,58.1107142857142,383.1614891346155,27,6,17.57566696,2: Entre 1 y 5 años,32,10,4
56,EJECUTIVO,2025-01-31,1749547,Mas de 5 años,Comercial,305057,ÉXITO ALAMEDAS,COSTAS,92.592593,42.6621515151515,103.164356,25,11,7.37625145,3: Mayor a 5 años,26,25,7
58,EJECUTIVO,2025-01-31,1050113,Entre 1 y 5 años,Comercial,305035,ÉXITO CHIPICHAPE,ANTIOQUIA,75.0,140.127619047619,184.50711099999998,12,9,4.3174664,2: Entre 1 y 5 años,16,6,2
59,EJECUTIVO,2025-01-31,1147059,Mas de 5 años,Comercial,305023,ÉXITO BARRANQUILLA,COSTAS,86.363636,140.132857142857,117.89907500000001,19,26,7.6634399,3: Mayor a 5 años,22,18,6
60,EJECUTIVO,2025-01-31,1164228,Menos de 6 meses,Comercial,356066,ÉXITO BUGA,ANTIOQUIA,21.428570999999998,52.1504428714742,39.618679,3,4,1.20520023,0: Menos de 6 meses,14,7,3
62,EJECUTIVO,2025-01-31,1945365,Menos de 6 meses,Comercial,400132,ÉXITO VALLE DE LILI,ANTIOQUIA,33.333332999999996,31.8154761904761,33.268813,9,6,1.94622556,0: Menos de 6 meses,27,18,5
63,EJECUTIVO,2025-01-31,1625177,Menos de 6 meses,Comercial,305043,ÉXITO FACATATIVA,BOGOTA Y CERCANIAS,85.714286,111.31128571428499,147.900158,12,28,8.17148372,0: Menos de 6 meses,13,25,5
64,EJECUTIVO,2025-01-31,1716641,Mas de 5 años,Servicio,305008,ÉXITO SAN FERNANDO,ANTIOQUIA,250.0,95.26976190476189,218.612482,10,51,15.0842591,3: Mayor a 5 años,4,53,6
65,EJECUTIVO,2025-01-31,1963062,entre 6 meses y 1 año,Servicio,305004,ÉXITO SAN ANTONIO,ANTIOQUIA,285.0,91.0366806799879,362.864478,13,59,31.29706126,1: Entre 6 meses y 1 año,4,64,8
66,EJECUTIVO,2025-01-31,1425397,Entre 1 y 5 años,Comercial,356060,ÉXITO DUITAMA,SANTANDERES BOYACA,121.052632,56.948736136474196,132.311334,23,22,7.27712337,2: Entre 1 y 5 años,18,38,5
67,EJECUTIVO,2025-01-31,1256682,Entre 1 y 5 años,Comercial,854198,ÉXITO BARRANCABERMEJA,SANTANDERES BOYACA,62.5,3.4482758620689653,383.1614891346155,5,1,5.20492778,2: Entre 1 y 5 años,8,29,0
68,EJECUTIVO,2025-01-31,1485398,entre 6 meses y 1 año,Comercial,879095,ÉXITO SIMON BOLIVAR,ANTIOQUIA,100.0,85.8531298062907,247.694236,32,26,16.10012532,1: Entre 6 meses y 1 año,32,30,6
69,EJECUTIVO,2025-01-31,0,Mas de 5 años,Servicio,305024,ÉXITO CHAPINERO,BOGOTA CENTRO,175.0,116.81712029913601,211.70574100000002,7,56,11.43211003,3: Mayor a 5 años,4,47,5
70,EJECUTIVO,2025-01-31,1479791,Mas de 5 años,Comercial,305076,ÉXITO AVENIDA QUINTA,SANTANDERES BOYACA,137.5,122.93029166666601,176.612163,22,31,7.59432299,3: Mayor a 5 años,16,25,4
71,EJECUTIVO,2025-01-31,1593479,entre 6 meses y 1 año,Comercial,305010,ÉXITO LA FLORA,ANTIOQUIA,10.526316,2.57943121693121,253.446814,2,1,4.44799159,1: Entre 6 meses y 1 año,18,38,1
72,EJECUTIVO,2025-01-31,1750120,Mas de 5 años,Comercial,322348,ÉXITO VIVA TUNJA,SANTANDERES BOYACA,136.363636,111.794280791495,227.748154,15,6,5.10155866,3: Mayor a 5 años,11,5,2
73,EJECUTIVO,2025-01-31,1370303,entre 6 meses y 1 año,Comercial,305003,ÉXITO ENVIGADO,ANTIOQUIA,40.659341,6.149428571428571,289.702216,37,2,18.83064406,1: Entre 6 meses y 1 año,90,32,6
74,EJECUTIVO,2025-01-31,1464520,Mas de 5 años,Comercial,305041,ÉXITO FUSAGASUGA,BOGOTA Y CERCANIAS,82.142857,56.8078571428571,154.943062,46,11,9.56773405,3: Mayor a 5 años,56,19,6
75,EJECUTIVO,2025-01-31,1618802,Mas de 5 años,Comercial,886722,ÉXITO MAGANGUE,COSTAS,114.285714,104.591588785046,116.069665,16,21,5.13027921,3: Mayor a 5 años,14,20,4
76,EJECUTIVO,2025-01-31,1855978,Entre 1 y 5 años,Comercial,305022,ÉXITO UNICENTRO CALI,ANTIOQUIA,60.0,21.6743095238095,383.1614891346155,30,4,17.74064447,2: Entre 1 y 5 años,50,18,3
77,EJECUTIVO,2025-01-31,1031125,Mas de 5 años,Servicio,305014,ÉXITO VILLAMAYOR,BOGOTA Y CERCANIAS,285.0,100.223379629629,383.1614891346155,3,21,18.65575777,3: Mayor a 5 años,1,20,1
78,EJECUTIVO,2025-01-31,1356049,entre 6 meses y 1 año,Comercial,305002,ÉXITO POBLADO,ANTIOQUIA,88.0,52.6762284981254,383.1614891346155,44,8,16.96715312,1: Entre 6 meses y 1 año,50,15,3
79,EJECUTIVO,2025-01-31,1434446,Entre 1 y 5 años,Comercial,305019,ÉXITO IBAGUE,BOGOTA Y CERCANIAS,88.46153799999999,32.3105714285714,346.493289,46,5,15.76544465,2: Entre 1 y 5 años,52,15,4
80,EJECUTIVO,2025-01-31,1786979,entre 6 meses y 1 año,Comercial,305008,ÉXITO SAN FERNANDO,ANTIOQUIA,88.888889,63.397999999999996,383.1614891346155,48,16,24.74100169,1: Entre 6 meses y 1 año,53,25,5
81,EJECUTIVO,2025-01-31,1994971,Entre 1 y 5 años,Comercial,305014,ÉXITO VILLAMAYOR,BOGOTA Y CERCANIAS,0.0,40.4934523809523,383.1614891346155,0,7,1.74659097,2: Entre 1 y 5 años,0,17,0
82,EJECUTIVO,2025-01-31,1692477,Mas de 5 años,Comercial,363157,ÉXITO CHIQUINQUIRA,SANTANDERES BOYACA,80.76923099999999,91.24983059252921,166.87962000000002,21,27,5.42358765,3: Mayor a 5 años,25,29,3
83,EJECUTIVO,2025-01-31,1160652,Menos de 6 meses,Comercial,305020,ÉXITO SAN PEDRO NEIVA,BOGOTA CENTRO,33.333332999999996,6.20017991632672,56.476456,13,1,3.33211093,0: Menos de 6 meses,39,16,5
84,EJECUTIVO,2025-01-31,1596696,Mas de 5 años,Servicio,305019,ÉXITO IBAGUE,BOGOTA Y CERCANIAS,150.0,158.066935111807,325.29087,6,49,18.29761146,3: Mayor a 5 años,4,30,5
85,EJECUTIVO,2025-01-31,1395743,Entre 1 y 5 años,Comercial,305049,ÉXITO LOS MOLINOS,ANTIOQUIA,44.444444,46.419298245614,20.428279,8,5,0.51479262,2: Entre 1 y 5 años,18,10,2
86,EJECUTIVO,2025-01-31,1922222,Menos de 6 meses,Comercial,305044,ÉXITO SALITRE,BOGOTA CENTRO,11.111111,0.0,185.94536399999998,3,0,6.04322432,0: Menos de 6 meses,27,0,3
87,EJECUTIVO,2025-01-31,1056647,Mas de 5 años,Comercial,305059,ÉXITO UNICENTRO VILLAVICENCIO,BOGOTA CENTRO,90.0,130.124719887955,0.0,9,12,0.0,3: Mayor a 5 años,10,9,0
88,EJECUTIVO,2025-01-31,1689249,Mas de 5 años,Comercial,305074,ÉXITO CENTRO SANTA MARTA,COSTAS,76.92307699999999,106.2285,155.702334,10,44,10.12065174,3: Mayor a 5 años,12,41,6
89,EJECUTIVO,2025-01-31,1896027,Mas de 5 años,Comercial,305054,ÉXITO GRAN ESTACION,BOGOTA CENTRO,43.75,42.348619047619,96.953878,14,6,3.15100105,3: Mayor a 5 años,32,14,3
90,EJECUTIVO,2025-01-31,1420216,Menos de 6 meses,Comercial,305006,ÉXITO NORTE,BOGOTA Y CERCANIAS,5.882353,0.0,165.71528,1,0,2.58515837,0: Menos de 6 meses,16,0,1
91,EJECUTIVO,2025-01-31,1541827,entre 6 meses y 1 año,Comercial,888587,ÉXITO FLORENCIA,BOGOTA CENTRO,11.111111,0.0,277.25254,1,0,5.40642453,1: Entre 6 meses y 1 año,9,0,1
92,EJECUTIVO,2025-01-31,1067121,Menos de 6 meses,Comercial,356024,ÉXITO ARMENIA,ANTIOQUIA,27.77777777777778,0.0,0.0,5,0,0.0,0: Menos de 6 meses,18,0,0
93,EJECUTIVO,2025-01-31,1546822,entre 6 meses y 1 año,Comercial,305004,ÉXITO SAN ANTONIO,ANTIOQUIA,38.095237999999995,8.333333333333332,268.377765,8,2,7.85004964,1: Entre 6 meses y 1 año,21,24,2
94,EJECUTIVO,2025-01-31,1564030,Mas de 5 años,Comercial,305082,ÉXITO ZIPAQUIRA,BOGOTA Y CERCANIAS,60.0,100.960674285714,221.593349,21,15,12.9632109,3: Mayor a 5 años,35,14,5
95,EJECUTIVO,2025-01-31,1540350,Entre 1 y 5 años,Comercial,305068,ÉXITO CASTELLANA,COSTAS,131.578947,80.54609523809519,81.771658,25,17,6.37818936,2: Entre 1 y 5 años,19,21,7
96,EJECUTIVO,2025-01-31,1679922,Mas de 5 años,Servicio,305003,ÉXITO ENVIGADO,ANTIOQUIA,285.0,77.4798577876051,222.85977400000002,7,35,9.52725534,3: Mayor a 5 años,2,45,4
97,EJECUTIVO,2025-01-31,1961811,Mas de 5 años,Comercial,305003,ÉXITO ENVIGADO,ANTIOQUIA,52.74725300000001,96.0837380952381,302.438639,48,14,19.65851151,3: Mayor a 5 años,90,14,6
98,EJECUTIVO,2025-01-31,1866752,Entre 1 y 5 años,Servicio,305027,ÉXITO SUBA,BOGOTA CENTRO,0.0,3.8461538461538463,0.0,0,1,0.0,2: Entre 1 y 5 años,0,26,0
99,EJECUTIVO,2025-01-31,1999806,Menos de 6 meses,Comercial,305028,ÉXITO PEREIRA,ANTIOQUIA,66.101695,23.6188571428571,371.85816900000003,39,3,20.54516386,0: Menos de 6 meses,58,12,5
100,EJECUTIVO,2025-01-31,1541838,Mas de 5 años,Servicio,305003,ÉXITO ENVIGADO,ANTIOQUIA,285.0,72.0121196589605,264.753796,16,62,18.86370794,3: Mayor a 5 años,4,86,7
101,EJECUTIVO,2025-01-31,1096233,Mas de 5 años,Servicio,305040,ÉXITO OCCIDENTE,BOGOTA CENTRO,285.0,19.3375,383.1614891346155,4,1,5.7814433,3: Mayor a 5 años,1,5,1
102,EJECUTIVO,2025-01-31,1932137,Mas de 5 años,Comercial,305018,ÉXITO BUCARAMANGA,SANTANDERES BOYACA,72.5,105.210238095238,129.936754,29,15,7.17900566,3: Mayor a 5 años,40,14,5
103,EJECUTIVO,2025-01-31,1251961,Entre 1 y 5 años,Comercial,854198,ÉXITO BARRANCABERMEJA,SANTANDERES BOYACA,84.615385,152.559987530941,383.1614891346155,33,17,38.83649066,2: Entre 1 y 5 años,38,11,4
